0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.05,0.1,0.05,0.1,0.05,0.1
0.2,0.1,0.2,0.1,0.2,0.1,0.2
0.3,0.15,0.3,0.15,0.3,0.15,0.3
0.4,0.2,0.4,0.2,0.4,0.2,0.4
0.5,0.25,0.5,0.25,0.5,0.25,0.5
0.6,0.3,0.6,0.3,0.6,0.3,0.6
0.7,0.35,0.7,0.35,0.7,0.35,0.7
0.8,0.4,0.8,0.4,0.8,0.4,0.8
0.9,0.45,0.9,0.45,0.9,0.45,0.9
1.0,0.5,1.0,0.5,1.0,0.5,1.0
1.1,0.55,1.1,0.55,1.1,0.55,1.1
1.2,0.6,1.2,0.6,1.2,0.6,1.2
1.1,0.55,1.1,0.55,1.1,0.55,1.1
1.0,0.5,1.0,0.5,1.0,0.5,1.0
0.9,0.45,0.9,0.45,0.9,0.45,0.9
0.8,0.4,0.8,0.4,0.8,0.4,0.8
0.7,0.35,0.7,0.35,0.7,0.35,0.7
0.6,0.3,0.6,0.3,0.6,0.3,0.6
0.5,0.25,0.5,0.25,0.5,0.25,0.5
0.4,0.2,0.4,0.2,0.4,0.2,0.4
0.3,0.15,0.3,0.15,0.3,0.15,0.3
0.2,0.1,0.2,0.1,0.2,0.1,0.2
0.1,0.05,0.1,0.05,0.1,0.05,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0
